Unnamed: 0,duration,original_sr,suspicious_diff,min amplitude,max amplitude,max_magnitude1,max_magnitude2,max_magnitude3,min_magnitude1,min_magnitude2,min_magnitude3,RTP_ssrc,RTP_payload_length,Flushed_packets,isMalicious,Lost_packets_count,Lost_packets_precentage
144,8.94,8000,FALSE,-0.54819721,0.686230063,534.0039673,494.4704895,448.2857361,6.45E-09,9.26E-09,1.27E-08,2038264800,160,447,FALSE,0,0
145,10.48,8000,TRUE,-0.547516882,0.696332574,537.8270874,531.2686157,486.2134399,8.96E-12,1.79E-11,4.03E-11,974414881,160,524,FALSE,1,0.19
146,9.640136054,8000,TRUE,-0.928970337,0.197979316,2.878573179,2.86888361,2.85454011,0,0,0,3010908133,160,483,FALSE,0,0
147,7.18,8000,FALSE,-0.547404647,0.696332574,387.3506165,367.1563416,331.1143799,8.96E-12,1.79E-11,4.03E-11,1768349064,160,359,FALSE,0,0
148,6.180136054,8000,TRUE,-0.928970337,0.197979316,2.874293327,2.871196747,2.857912064,0,0,0,2106525632,160,310,FALSE,0,0
549,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,TRUE,0,0
550,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,TRUE,0,0
551,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,TRUE,0,0
552,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,TRUE,0,0
553,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,TRUE,0,0
554,199.9,8000,TRUE,-1.157694697,0.113683075,278.6459351,278.0650635,276.3529663,2.11E-11,2.17E-11,2.35E-11,0,160,9995,TRUE,0,0
